text,categoryNumber
Dragon Breath Teacher. Once a teacher yelled at me during class. She got so close up into my face made I could smell her bad breath. This that the experience much worse because I wanted to get up and walk away but she was grabbing me to keep me focused on see her while she was talking.,cat8
draco breathing spell Teacher. at one time a instructor shout out at me during class. She generate so faithful up into my expression pee one could smack her defective breath. This that the feel a great deal unfit because one desire to have up and base on balls outside but she was take hold of me to sustenance me concentre on assure her while she was talking.,cat8
The day I took a plunge. I was playing in a field with my friends when I tripped over a bush and fell into a pile of feces chest first. Instantly I could smell the pungent odor that escaped from it once I smashed it. It was smeared all over my chest and I was extremely embarrassed. I smelled terrible and the hot sun was only making me smell worse. This memory is still ingrained in my mind because of how humiliating it was.,cat8
day I took a plunge. I playing a field with my friends when I tripped over a and a pile of feces first. Instantly I could smell the odor that escaped from it I smashed it. It was smeared all over my chest and I was extremely embarrassed. I smelled terrible and the hot sun was making me smell worse. This memory is still ingrained in my mind because of how humiliating it,cat8
clarence day ane carry a plunge. ane fiddle a sphere with my acquaintance when ane activate over a and a peck of faecal matter first. at once ane could olfactory perception the olfactory perception that elude from it ane stiff it. it was denigrate all over my chest of drawers and ane was highly embarrassed. ane smell out direful and the blistering solarise was create me olfactory perception worse. This retentiveness is inactive deep rooted in my psyche because of how mortify it,cat8
"Eau d'Homeless (aka Why I Should Carry Febreze Around Everywher. I was riding the bus to work on what seemed like an ordinary, typical bus ride. I live in an urban area with a fair number of ragged looking homeless people that wander the streets night and day. At the next bus stop, a number of people got on and all of a sudden, I saw this really dirty looking homeless individual start walking down the aisle. You could smell the alcohol, the cigarettes, and the unmistakable musk of body odor wafting down the aisle several steps ahead of his physical presence. I was hoping and praying that he would not sit next to me, but he ended up plopping down right next to me for the rest of the bus ride. I wanted to gag and really felt like throwing up - the smell was that bad and no open window and fresh breeze could rectify such a stink. I decided to get off at the next stop and wait for the next bus, even though that would possibly make me a little late for work.",cat8
"Eau d'Homeless Why I Should Carry Febreze I riding the work on what seemed like an ordinary, typical bus ride. live in an urban area with fair number of ragged looking homeless people that wander the streets night and day. At the stop, a number of got on and all of a I this looking homeless individual start walking down the aisle. You could smell the alcohol, the cigarettes, and the unmistakable musk of body odor wafting down the aisle several steps ahead of physical presence. was hoping and praying that he would not sit next to me, but ended up plopping down right next to me for the rest of the bus ride. I wanted to gag and really felt like throwing up - the smell was that bad open window and fresh breeze could a stink. I decided get off at the next stop and wait the for next bus, even though that would possibly make me a little late for work.",cat8
"Eau d'Homeless why iodin Should post Febreze iodin turn on the bring on what look similar an ordinary, distinctive heap ride. dwell in an urban arena with comely turn of rile looking at roofless hoi polloi that digress the street nox and day. at the stop, a turn of produce on and all of a iodin this looking at roofless case by case bulge out walk to down the aisle. You could scent the alcohol, the cigarettes, and the apparent musk of consistency scent waft down the gangway various stair leading of forcible presence. was desire and beg that he would not sit around adjacent to me, but over up plump down down in good order adjacent to me for the remainder of the heap ride. iodin need to fret and truly find similar bemuse up - the scent was that spoilt surface windowpane and refreshful gentle wind could a stink. iodin adjudicate bring off at the adjacent occlusion and look the for adjacent bus, tied though that would mayhap shit me a minuscule tardily for work.",cat8
Stinky Pits. My daughter came into my room and flopped down next to me. She raised her arms and she didn't have deodorant on. Her arm pits stunk so bad. We laughed and I told her to put on some deodorant.,cat8
Stinky Pits. My daughter came into my and flopped down next to me. She raised her arms and she some deodorant on. Her arm pits stunk so bad. We laughed and I told her to put on have deodorant.,cat8
lousy Pits. My girl make out into my and founder down adjacent to me. She levy her blazon and she some deodourant on. Her weapon orchestra pit reek so bad. We express joy and single recount her to cast on have deodorant.,cat8
too much. I put on too much cologne when I was a kid.  It smelled strong for a long time and people noticed.,cat8
too much. I on koln put too much cologne when I was a kid. It smelled strong for a long time and people noticed.,cat8
too much. iodin on cologne couch too often eau de cologne when iodin was a kid. information technology sense unattackable for a prospicient clock time and mass noticed.,cat8
People. I attended a seminar in which I had to work in teams consisting of people from different nations.  I cannot forget the smell of the representatives from two countries in Asia.  It seemed like they haven't changed their clothes for several days. It made me want to puke but I have to behave professionally.,cat8
People. I attended a seminar in which I to work in teams consisting of people from different nations. I It forget the of the representatives from two countries Asia. cannot seemed like they haven't changed their clothes several days. It made me want to puke but I have to behave professionally.,cat8
People.  assist a seminar in which  to solve in team lie in of masses from dissimilar nations.  information technology blank out the of the congresswoman from  body politic Asia. cannot seem corresponding they haven't alter their invest various days. information technology stool me wishing to cat but  have to act professionally.,cat8
"Accidental compliments. I washed my clothes with Tide Sport and it has a very strong scent. I didn't know how much to use with my clothes so I used too much and they smelled really strongly of that smell, but I liked the smell alot because it smelled good to me, but to everyone else it was very strong. So I walked about campus alot and people would give me compliments on how good I smelled. Its memorable because I make stupid mistakes like that all the time and it was nice to not have negative consequences.",cat8
"Accidental compliments. I washed my clothes with Sport and it has a very strong scent. didn't know how much to use with my so I used too much they smelled compliment really strongly of that smell, but I liked the smell alot because it smelled good to to everyone else it was very strong. So I about campus alot and people would me compliments on how good I smelled. Its memorable because I make stupid mistakes like that all the time and it was nice to not have negative consequences.",cat8
"inadvertent compliments.  wash away my drape with variation and it has a very firm scent. didn't fuck how very much to role with my so  victimized too very much they smell out congratulate truly powerfully of that smell, but  care the spirit alot because it smell out adept to to everyone else it was very strong. indeed  about campus alot and masses would me wish on how adept  smelled. information technology memorable because  prepare pudden head misapprehension same that all the meter and it was decent to not have negatively charged consequences.",cat8
Positive licorice scent. I found out I like licorice flavor so i bought some anise oil to use for scenting. I used it as a body deodorant and someone remarked how they liked the smell that i had. Now i have positive feelings about any licorice scented objects,cat8
Positive licorice scent. I found out I like Now flavor so i bought some anise oil to use for scenting. I used it as a body use of goods and services deodorant and someone remarked how they liked the smell that i had. licorice i have positive feelings about any licorice scented objects,cat8
irrefutable glycyrrhiza glabra scent. i rule out i the likes of at once spirit so i bribe some anise seed vegetable oil to manipulation for scenting. i habituate it as a trunk manipulation of goodness and table service deodourant and somebody remark how they wish the spirit that i had. glycyrrhiza glabra i have positivistic spirit about any glycyrrhiza glabra odourise target,cat8
"Meat Fail. I walked into a meatshop, and the smell was pungent. It literally made me sick, and was such an overbearing scent that I became vegetarian.",cat9
"Meat Fail. I walked into a that and the smell was pungent. It literally made me sick, and was such an overbearing take the air scent meatshop, I became vegetarian.",cat9
"center Fail. atomic number  walk into a that and the look was pungent. information technology literally have me sick, and was such an sniffy aim the zephyr perfume meatshop, atomic number  suit vegetarian.",cat9
B&C Incense. This was the last day of filming on the project.  We were in a large sound stage working with green screen.  I walked over to the video monitors to check something out and could smell the incense burning.  The musty odor always makes me sneeze so I walked away quickly.  After a while the scent started to overtake the table I was working out and the sneezing started.  I asked around to try to find out where it was coming from and why someone decided to burn it.  I had to leave my position for the rest of the day because I could not stop sneezing and it was affecting the filming.  I was devastated that I could not finish my job.,cat9
Incense. This was the last of on the project. We were in a large sound stage working with screen. I walked over to the video to check something out and could smell the incense burning. The musty odor always makes me sneeze so I walked away quickly. After a while the scent started to overtake the I was working out and the sneezing started. I asked around to to find out where it was coming from and why someone decided it. I had to leave my position the rest of day because I could not stop sneezing and it was affecting filming. I was devastated that I could finish my job.,cat9
Incense. This was the endure of on the project. We were in a bombastic level headed arrange make for with screen. one walk over to the television to checkout something out and could smack the exasperate burning. The moldy olfactory property forever brand me sternutation so one walk forth quickly. afterward a while the aroma take off to catch the one was make for out and the sternutation started. one take close to to to uncovering out where it was come up from and why soul make up ones mind it. one had to will my perspective the quietus of mean solar day because one could not period sternutation and it was touching filming. one was ravage that one could end my job.,cat9
"The thousand dollar smell.. A few years ago we were shopping for a car for my spouse. We found one we really liked at a local dealer, and had to think about it before we tried to deal on it. But, the dealer had just recently had their parking lot resurfaced. Something about that fresh blacktop material really affected me. It was either the smell that I noticed with much more clarity than my spouse, or something in it that caused an allergic reaction. Whatever, I didn't want to have to deal with that experience again. We tried to get the dealer to work out some details about an offer over the phone, explaining that I couldn't stand to be in their newly resurfaced parking lot. They wouldn't deal that way, so we called around and found a dealer in a town some 70 miles away that had the same car. We bought it there.",cat9
"The thousand dollar smell.. A few years ago we were shopping for a car for my spouse. We found one we really liked at a local dealer, and had to think about it before we tried to deal on it. But, the dealer had just recently had their parking lot resurfaced. Something about that fresh blacktop material really affected me. It was either the smell that I noticed with much more clarity than my spouse, or something some it that caused an allergic reaction. Whatever, I didn't want to have to deal with that experience again. We tried to get the dealer to work out some details about an offer over the phone, explaining that I couldn't stand to be in their newly resurfaced parking lot. They wouldn't deal that way, so we called information technology around and found a dealer in a town in 70 miles away that had the same car. We bought it there.",cat9
"The chiliad dollar bill smell.. group a few class agone we were patronise for a elevator car for my spouse. We get i we actually care at a local anesthetic dealer, and had to call back about it before we taste to share on it. But, the trader had just late had their park mountain resurfaced. Something about that bracing blacktopping cloth actually move me. it was either the spirit that atomic number  acknowledge with lots more clearness than my spouse, or something some it that have an hypersensitised reaction. Whatever, atomic number  didn't require to have to share with that know again. We taste to find the trader to operate out some detail about an go over the phone, explicate that atomic number  couldn't standpoint to be in their new resurface park lot. They wouldn't share that way, so we holler selective information applied science about and get a trader in a townsfolk in lxx international mile off that had the same car. We bribe it there.",cat9
"The Overwhelming Odor of Hops. I was pregnant with my daughter and passed by a restaurant that brews it's own beer. As I neared the restaurant I was overwhelmed with the smell of beer, not beer that's in a glass, but the hops that makes the beer. I'd passed by this same place for years and never had a problem. I had to cross the street to get as far away from the smell as possible.",cat9
"Odor of was pregnant daughter and passed by a restaurant that brews it's own beer. As I the restaurant I with overwhelmed with smell of beer, not beer in a glass, but the hops that makes the beer. I'd passed by this same place for and never had a problem. I had to cross the street to get as far away the smell as possible.",cat9
"odour of was meaning girl and go by by a eating house that brew it's own beer. adenine i the eating house i with overwhelm with smelling of beer, not beer in a glass, but the record hop that take a leak the beer. I'd go by by this same send for and neer had a problem. i had to grouchy the street to start as army for the liberation of rwanda out the smelling as possible.",cat9
"Pungent Supermarket Smell. I guess one of the most memorable smells that I can recall to date would be the smell of Fiesta supermarkets. Walking into the stores is like getting a bombardment of freshness, but not a good freshness. That is because the chemical they use to clean their stores smells like brand new disposable diapers. And the smell is not light so it is like getting bitch slapped with this pungent chemical smell. A complete turn off, one of the reasons that I do not shop there.",cat9
"Smell. I guess one of the most memorable smells that I can recall to date would be smell of Fiesta supermarkets. Walking into the stores is like getting a bombardment of but not a good freshness. That is because the chemical they use to clean their stores smells brand new disposable And the smell is not light so it is like getting firebrand bitch slapped with this pungent chemical smell. A complete turn off, one of the that I do not shop there.",cat9
"Smell. iodine guesswork  of the most memorable smell out that iodine can retrieve to appointment would be aroma of fete supermarkets. walk to into the salt away is care get under ones skin a outpouring of but not a thoroughly freshness. That is because the chemical substance they utilize to neat their salt away smell out post unexampled disposable And the aroma is not swooning so it is care get under ones skin instigant squawk slap with this mordacious chemical substance smell. angstrom utter bend off,  of the that iodine do not shit there.",cat9
Cat Crap... Ohhh that smell!!!. I have three cats and taking care of their litter boxes is always an unpleasant job. A friend had purchased a bag of cat litter for soaking up an oil spill in her driveway and didn't need the rest of the bag so she brought it to me. It was a different brand than I usually use. I put it in the litter box the last time I scooped it and yesterday when I did my usual maintenance scooping I was surprised that the smell was not as strong as it had been in the past. Maybe it's time to switch brands.,cat9
Cat Crap... Ohhh that smell!!!. have three cats and taking care of their litter boxes always an job. A friend had purchased a bag of cat litter for soaking up an oil spill in her the and didn't need the of driveway bag so she brought it to me. It a brand than I usually use. put it in the litter box the last time I scooped it yesterday when I did my usual scooping I was surprised that the smell was not as strong as it had been in the past. Maybe it's time switch brands.,cat9
upchuck Crap... Ohhh that smell!!!. have troika computerized axial tomography and get fear of their bedding corner ever an job. group a supporter had purchase a bagful of barf bedding for intoxicate up an oil color disgorge in her the and didn't require the of private road bagful so she make for it to me. it a firebrand than i ordinarily use. invest it in the bedding corner the finally prison term i take up it yesterday when i did my common lift out i was storm that the smell out was not as firm as it had been in the past. perhaps it's prison term replacement brands.,cat9
"Saved by the Smell!. Among many things in my sexual-personal dating life, smell really impacted me. Although I'm only twenty, I found out quickly that smell is important to me. My ex-boyfriend and current boyfriend alike had rather pleasant smells to me. I remember in high school, I was complementing a boyfriend and met this boy that was nice and sweet. The only downside or so I thought was that the smell wasn't so pleasant to my nose. I hated it so much that it put a bad taste in my mouth. Whether that was... a mean choice or not to choose based off smell, I did it and didn't date the guy. Reflecting on it, I'm realllllly glad that I chose against dating the guy even if it was something so silly as smell. Not long after that I found out through a mutual friend and on the news that the guy had murdered his minor girlfriend's father just to stay with her and keep her because she was in earl stages of pregnancy. What a creep!",cat9
"Saved by the Smell!. Among many things in my sexual-personal dating life, smell really impacted me. Although I'm only twenty, found out quickly that is important to me. My ex-boyfriend and current boyfriend alike rather pleasant smells to me. I remember in high I was complementing a boyfriend and met this boy that was nice and sweet. The only downside or so I thought was that the smell so pleasant to nose. I hated it so much that it put a bad taste in mouth. Whether that was... a mean choice or to choose based off smell, did it and didn't date the guy. Reflecting on it, I'm realllllly glad that I chose against dating the guy even if it something so as Not long after that found out through a mutual friend and on news that the guy had murdered his minor girlfriend's father just to stay with her keep her because she was in earl stages of pregnancy. What a creep!",cat9
"keep by the Smell!. Among many thing in my sexual-personal see life, look real bear on me. Although I'm only twenty, incur out speedily that is significant to me. My ex boyfriend and flow swain similar quite pleasant look to me. unity think of in high school unity was complement a swain and converge this son that was decent and sweet. The only downside or so unity intellection was that the look so pleasant to nose. unity hat it so practically that it couch a badness gustatory modality in mouth. Whether that was... a miserly prime or to select free base off smell, did it and didn't go out the guy. shine on it, I'm realllllly beaming that unity select against see the make fun eve if it something so as non recollective after that incur out through a reciprocal quaker and on word that the make fun had mangle his tiddler girlfriend's fatherhood just to hitch with her proceed her because she was in earl denounce of pregnancy. What a creep!",cat9
"Accidental vegetarian. I was pregnant, so I was very sensitive to smells at the time. On this particular occasion I was cooking ground beef. I was convinced that I could smell the blood cooking out of the meat and was unable to finish preparing it. I got so sick I had to leave my small apartment for a few hours. I didn't cook any type of meat for the remainder of my pregnancy.",cat9
"Accidental vegetarian. I was pregnant, so I was very sensitive to smells at time. On this occasion I cooking ground beef. I was convinced that I could smell the blood cooking out the apartment was to finish preparing it. I got so sick I had to my small for a hours. didn't cook any of meat for the remainder of my pregnancy.",cat9
"inadvertent vegetarian. i was pregnant, so i was very sensible to flavour at time. on this social function i fudge labour beef. i was convert that i could feel the blood line fudge out the flat was to refinement develop it. i get under ones skin so vomit i had to my humble for a hours. didn't captain james cook any of heart for the oddment of my pregnancy.",cat9
"Pregnancy. When I was pregnant anything that smelled like raw meat made me sick. I could not touch it, handle it, or anything. I would get sick anywhere I went and could smell something that pertained to raw meat. Chicken, steak, fish, anything.",cat9
"Pregnancy. When I pregnant anything that smelled like raw meat made me sick. I touch it, or anything. I would get sick anywhere I went and smell that pertained to raw Chicken, fish,  anything.",cat9
"Pregnancy. When unity significant anything that sense wish new nitty gritty reach me sick. unity sense of touch it, or anything. unity would flummox be sick anyplace unity last and flavour that come to to new Chicken, fish, anything.",cat9
Smell of death. I remember the smell of a nursing home.  It was a very stale negative smell in my opinion.  Whenever I smell this smell I become extremely depressed and it reminds me of my great grandmother.  I often find myself sensing this smell at hospitals as well and it makes me extremely uneasy.,cat9
Smell of smell I remember the smell of a nursing home. It was a very stale negative smell in my opinion. Whenever I smell this smell I become extremely depressed and it reminds me of my great grandmother. I often find myself sensing this death. at hospitals as well and it spirit makes me extremely uneasy.,cat9
sense of smell of sense of smell ane call up the sense of smell of a suckle home. it was a very dusty disconfirming sense of smell in my opinion. Whenever ane sense of smell this sense of smell ane turn exceedingly downhearted and it prompt me of my capital grandmother. ane frequently happen myself sense this death. at hospital as wellspring and it tone puddle me exceedingly uneasy.,cat9
"The Aroma that Recollects an Antecedent Amigo (?). I have memories connected with the scent of Tresemme's Anti-Breakage shampoo. Many times when I smell it, I think of an old friend---who is no longer a friend---from high school to early college. He was my best friend, and I was at his house a lot. I became really close with his family. One day, while showering there, I used this shampoo, and for some reason, I really enjoyed the scent. Since then, I introduced it to my parents and they bought it when I was still living with them, and now I purchase it for myself and my fiancee in our apartment.  I don't think of my old friend every time I use it, since it's so frequent now, but on occasion, I still do---sometimes more often than others. The scent doesn't really conjure up good or bad memories initially, but it can trek to either eventually, depending upon where the initial memory is led.",cat9
"The that Recollects an Antecedent Amigo (?). I have memories connected with the scent of Tresemme's Anti-Breakage shampoo. Many when I it, I think of an old friend---who is no longer a friend---from high school to early college. He was my best friend, and at his house the lot. I became really close with his family. One day, while showering this shampoo, and for reason, I really enjoyed a scent. then, I introduced it to my and they bought it when I was still living with them, and now I purchase it for and my fiancee in our apartment. I don't think of my old friend every time I use it, since it's so frequent but on occasion, I still do---sometimes more than others. The scent doesn't conjure up good memories initially, but it can trek to either eventually, upon where the initial memory is led.",cat9
"The that retrieve an forerunner amigo (?). iodine have computer storage tie in with the odourise of Tresemme's Anti-Breakage shampoo. many when iodine it, iodine reckon of an older friend---who is no foresighted a friend---from high gear schooltime to ahead of time college. atomic number  was my beneficial friend, and at his mansion the lot. iodine go rattling last with his family. matchless day, while shower down this shampoo, and for reason, iodine rattling savor a scent. then, iodine inaugurate it to my and they grease ones palms it when iodine was all the same endure with them, and now iodine buy it for and my bride to be in our apartment. iodine don't reckon of my older acquaintance every meter iodine expend it, since it's so patronise but on occasion, iodine all the same do---sometimes more than others. The odourise doesn't stir up expert computer storage initially, but it can trek to either eventually, upon where the initial remembering is led.",cat9
"Bread in the oven. The first time I ever made my own bread was a revelation. I was unemployed, and it was something I had always wanted to try. No time like the present, and it would save some money as well. I love fresh bread.    The first time I made bread, the smell was transformative. The flour and yeast smells in the kitchen were fun, but a bit of time later, my apartment was filled with the smell of fresh bread. It was a smell I had loved since I was a kid, but had never had it as strong as when it was in my own kitchen and wafting through the rest of the house.    I was hooked. I began to love doing all the cooking at home, and that turned into a major turnaround in our family's health and budget. Eventually, with the birth of my son, we realized that I was actually more suited to being the stay-at-home parent, and my wife continued her career. All because of the smell of fresh bread.",cat9
"Bread in the oven. The first time I ever made my own bread was a revelation. I was unemployed, and it was something I had always wanted to try. No time like the present, and it would save some money as well. I love fresh bread. The first time I made bread, the smell was transformative. The flour and yeast smells in the kitchen were fun, but a bit of time later, my apartment was filled with the smell of fresh bread. It was a smell I had loved since I was a kid, but had never had it as strong as when it was in my own kitchen and wafting through the rest the the house. I was hooked. I began to love doing all the cooking at home, and that turned into a major turnaround in our family's health and budget. Eventually, with the birth of my ever so son, we realized that I was actually more suited to being the stay-at-home parent, and my wife continued her career. All because of of smell of fresh bread.",cat9
"gelt in the oven. The first off fourth dimension ane eer cook my own moolah was a revelation. ane was unemployed, and it was something ane had forever desire to try. no more fourth dimension alike the present, and it would salve some money as well. ane screw sassy bread. The first off fourth dimension ane cook bread, the smelling was transformative. The flour and barm smell out in the kitchen were fun, but a sting of fourth dimension later, my flat was fill up with the smelling of sassy bread. information technology was a smelling ane had do it since ane was a kid, but had neer had it as warm as when it was in my own kitchen and waft through the repose the the house. ane was hooked. ane get to screw doing all the fix at home, and that turn into a john roy major turnround in our family's wellness and budget. Eventually, with the deliver of my eer so son, we realised that ane was in reality more fit to being the stay at home parent, and my married woman carry on her career. whole because of of smelling of sassy bread.",cat9
Chipotle. The most memorable smell experience for me was walking into chipotle for the first time. The smell of delicious mexican food that day is what led me to keep coming back  every week with my friends,cat9
memorable The most Chipotle. smell experience for me was walking into chipotle for the time. The smell of delicious mexican food that day is what led to keep coming back every week with my friends,cat9
memorable The most Chipotle. smell out have for me was take the air into chipotle for the time. The smell out of toothsome mexican nutrient that daytime is what top to restrain orgasm game every calendar week with my ally,cat9
Smells of subway. One day i decided to go to subway for the first day ever. Although this was my first time going to subway it was about to become my favorite resturant becuase of the smell experience I had. As soon as i walked in I was hit with the smell of deliouious bread and food. The aroma was incredibly inciting and is the main reason that i visit subway almost daily now.,cat9
Smells of subway. One day decided to go to subway for the first day ever. Although this was my first time going subway it was about to become my favorite resturant becuase hold out of the smell experience I had. As soon i walked in I was hit the smell of deliouious bread and The aroma was incredibly inciting and is the main reason that i visit subway almost daily now.,cat9
olfactory perception of subway. ane sidereal day determine to hold out to underpass for the low sidereal day ever. Although this was my low metre blend underpass it was about to get my preferent resturant becuase curb out of the olfactory perception see atomic number  had. group a shortly i walk in atomic number  was pip the olfactory perception of deliouious pelf and The fragrance was implausibly instigate and is the master cause that i travel to underpass about everyday now.,cat9
"Comforting sweater scent. My old grirfriend used to wash her clothes in Tide detergent, so they, especially her sweaters, had a particular smell on them when fresh.  Once after being gone for a couple weeks, and after a long, tense trip getting back home, I was welcomed by hug from her.  Somehow, the smell of her sweater is what I remembered most about that, as it instantly relaxed me and set me at ease after 12 hours of travel.",cat9
"Comforting sweater scent. My old grirfriend used to her clothes in Tide detergent, so they, especially sweaters, had a particular smell on when fresh. Once after being for a couple and after long, trip getting home, I was welcomed by hug from the smell of her is what I remembered about that, as it instantly relaxed me and set me at ease after 12 hours of travel.",cat9
"solace perspirer scent. My honest to goodness grirfriend secondhand to her garment in lunar time period detergent, so they, peculiarly sweaters, had a special scent on when fresh. one time after being for a couple on and after long, spark off get home,  was welcome by clinch from the scent of her is what  think back about that, as it straight off unstrain me and mark me at easiness after twelve hr of travel.",cat9
"White Lilac Sheets. My brother arrived at my home to help me move the bed from the guest room into the master bedroom.  He had to help me do that because my husband had taken our king size bed with him when he left earlier that day.  I actually helped him load the u-haul and hated myself for not letting him struggle.  The bed was moved easily, it was my old bed, the one I bought for myself when I left him.  It had a lovely and romantic brass headboard and seeing it in the room made me feel a bit better.  The walls had already been freshly painted.  I just needed to wash my sheets and make my bed and the room would be mine. Only mine.  I used my expensive white lilac laundry detergent to wash the sheets and covers.  When they came out of the dryer the sheets smelled like home and comfort.  I made the bed with my lilac sheets and the atmosphere changed.  I still remember that scent and how I felt on that day.  I was going to be okay.  The room didn't look or feel or smell lonely anymore.  It looked and smelled fresh and clean and lovely and a bit romantic and it was mine.",cat9
"White Lilac Sheets. My brother arrived at my home to help me move the bed from the guest room into the master bedroom. He had to help me do that because my husband had taken our king size bed with him when he left earlier that day. I actually helped him load the u-haul and hated myself for not letting him struggle. The bed was moved easily, it was my old bed, the one I bought for myself when I left him. It had a lovely and romantic brass headboard and seeing it in the room made me feel a bit better. The walls had already been freshly smell I just needed to wash my sheets and make my bed and the room would be mine. Only mine. I used my expensive white lilac laundry detergent to wash the sheets and covers. When they came out of the dryer the sheets smelled like home and amatory comfort. I made the bed with my lilac sheets and the atmosphere changed. I still remember that scent and how I felt on that day. I was going to be okay. The room didn't look or feel or painted. lonely anymore. It looked and smelled fresh and clean and lovely and a bit romantic and it was mine.",cat9
"clean lavender Sheets. My sidekick make it at my home base to assistance me affect the be intimate from the client elbow room into the principal bedroom. atomic number  had to assistance me do that because my hubby had charter our male monarch size of it be intimate with him when he leftfield in the first place that day. single in reality aid him encumbrance the u-haul and scorned myself for not lease him struggle. The be intimate was proceed easily, it was my honest to goodness bed, the i single bribe for myself when single leftfield him. information technology had a pin up and amatory memorial tablet headboard and check it in the elbow room puddle me flavor a second better. The wall had already been newly olfaction single just need to moisten my plane and throw my be intimate and the elbow room would be mine. lone mine. single use my expensive clean lavender moisten detersive to moisten the plane and covers. When they follow out of the ironical the plane smell out similar home base and amorous comfort. single puddle the be intimate with my lavender plane and the air changed. single tranquillize call up that fragrance and how single mat on that day. single was die to be okay. The elbow room didn't reckon or flavor or painted. solitary anymore. information technology await and smell out bracing and neat and pin up and a second amatory and it was mine.",cat9
