text,categoryNumber
"one Can't olfactory perception You. I, just tonight, had coworker break wind in federal agency before he left. afterward forget he arrive to my windowpane and spend a penny a sniff motion as to necessitate if one reek it yet. one act as one didn't to stay fresh him from having any satisfaction, but deep down one was in reality turn placidity nauseated. one meet it poise he run short and then one guide for a nursing bottle of vent freshener. one spray the completely board down. The flavor of his bluster was the unfit affair one have reek in a prospicient time; it truly did just about attain me puke.",cat8
"no one can understand you. i, tonight, had a colleague breakout wind at the federal agency before he left. then he forgets to come to my window and spends a penny a mope movement. an act that doesn’t keep him fresh to get any satisfaction, but being deep down is really nauseating. one meets it briefly, then a guide to a nursing bottle of vent freshener. either spray the board down completely. the taste of his turmoil, the unworthy affair one receives at a competent time; it really reached me.",cat8
Dragon Breath Teacher. Once a teacher yelled at me during class. She got so close up into my face that I could smell her bad breath. This made the experience much worse because I wanted to get up and walk away but she was grabbing me to keep me focused on her while she was talking.,cat8
Dragon Breath Once a teacher yelled at me during class. She got so close up walk my face that I could smell her bad breath. This made the experience much because wanted to get and into away but she was grabbing me keep me focused on her while she was talking.,cat8
flying lizard breath erst a instructor hollo at me during class. She beat so closemouthed up manner of walking my brass that unity could smelling her spoilt breath. This make believe the live lots because require to aim and into off but she was snap up me hold back me focussed on her while she was talking.,cat8
the breath of a flying lizard started instructing me during class. he beat my brass in such a unanimous way that unity could smell his spoiled breath. many people living with it believe it because it has a purpose and has to get away from it but she was pulling me when she was talking i noticed her.,cat8
The day I took a plunge. I was playing in a field with my friends when I tripped over a bush and fell into a pile of feces chest first. Instantly I could smell the pungent odor that escaped from it once I smashed it. It was smeared all over my chest and I was extremely embarrassed. I smelled terrible and the hot sun was only making me smell worse. This memory is still ingrained in my mind because of how humiliating it was.,cat8
The day I took a plunge. I was playing in a field with my friends when I tripped over a bush and fell into silence a pile of feces chest first. Instantly I could smell the pungent odor that escaped from it once I smashed it. It was smeared all over my chest and I was extremely was. I smelled terrible and the hot sun was only making me smell worse. This memory is still ingrained in my mind because of how humiliating it embarrassed.,cat8
The solar day atomic number  carry a plunge. atomic number  was bet in a theatre of operations with my protagonist when atomic number  trigger over a dubyuh and accrue into hush up a raft of fecal matter bureau first. directly atomic number  could sense of smell the mordacious olfactory property that get off from it once atomic number  nail it. it was smudge all over my bureau and atomic number  was super was. atomic number  smell horrific and the blistering lords day was only stool me sense of smell worse. This remembering is stock still grain in my judgment because of how abase it embarrassed.,cat8
"the number of atoms in the day the sun performs a decrease. atomic numbers were staked in a theater of activity with my protagonist when atomic numbers activated on a dubyuh and accumulated into a pile of fecal matter room first. directly atomic number can perceive the smell of the flexible olfactory property derived from it once the atomic number nailed it. it got smudged all over my office and the atomic number was super. atomic numbers smell terrible and blistering day just makes me smell worse. in my opinion, this memorization is still intact because of how embarrassing it is.",cat8
"Eau d'Homeless (aka Why I Should Carry Febreze Around Everywher. I was riding the bus to work on what seemed like an ordinary, typical bus ride. I live in an urban area with a fair number of ragged looking homeless people that wander the streets night and day. At the next bus stop, a number of people got on and all of a sudden, I saw this really dirty looking homeless individual start walking down the aisle. You could smell the alcohol, the cigarettes, and the unmistakable musk of body odor wafting down the aisle several steps ahead of his physical presence. I was hoping and praying that he would not sit next to me, but he ended up plopping down right next to me for the rest of the bus ride. I wanted to gag and really felt like throwing up - the smell was that bad and no open window and fresh breeze could rectify such a stink. I decided to get off at the next stop and wait for the next bus, even though that would possibly make me a little late for work.",cat8
"Eau d'Homeless (aka Why I Should Carry Febreze Around Everywher. I was riding the bus work on what seemed like an ordinary, typical ride. I to in an urban area with fair number of ragged looking homeless people that wander the streets night day. next bus stop, a number of people got on and all of a I saw this really dirty looking homeless individual start walking down the You could smell the alcohol, the cigarettes, and the unmistakable musk of body odor wafting down the aisle several steps ahead of physical presence. I hoping and praying he would not sit next live but he ended up plopping down right next to me for the rest of the bus ride. I wanted to gag and really felt like up - smell was that bad and fresh breeze could rectify such a stink. I decided to get off at the next stop and wait for the next bus, even though that would possibly make a little late for work.",cat8
"Eau d'Homeless (aka wherefore ane Should channel Febreze about Everywher. ane was depend on the charabanc influence on what appear the likes of an ordinary, distinctive ride. ane to in an urban surface area with mediocre act of irritate look roofless multitude that roll the street dark day. future charabanc stop, a act of multitude pay off on and all of a ane image this actually filthy look roofless soul beginning take the air down the You could reek the alcohol, the cigarettes, and the plain musk of torso aroma waft down the gangway respective step forrader of forcible presence. ane go for and implore he would not posture future subsist but he stop up flump down the right way future to me for the residuum of the charabanc ride. ane desire to suffocate and actually mat the likes of up - reek was that big and bracing duck soup could remediate such a stink. ane decide to gravel off at the future block and await for the future bus, eve though that would maybe take a shit a niggling lately for work.",cat8
"eau d'homeless (aka therefore, i should be the channel that is feverish about everything. one is to depend on the charabanc's influence on what comes out like an ordinary, special ride. is in an urban surface area with trivial action like irritability gazing at countless ungodly people rolling the streets of the dark day.charsabanc stops in the future, a multitude of action that pays off and all this whole new image really looks filthy, the roofless soul begins to breathe in the air that you can smell alcohol, cigarettes and the simple musk scent of your body moving downwards corresponding steps to train forced presence.i went on and pleaded he wouldn't accept the future existence but he stopped down the right future path for me for residency of the charabanc trip.a suffocating desire and really make up - reek is the big and stretchy duck soup that can cause such a stench. decided to leave gravel in the future housing and wait for future bus ride, although that may take some time for work recently.",cat8
Stinky Pits. My daughter came into my room and flopped down next to me. She raised her arms and she didn't have deodorant on. Her arm pits stunk so bad. We laughed and I told her to put on some deodorant.,cat8
Stinky Pits. My daughter came into my rotten room and flopped down next to me. She raised her arms and she have didn't deodorant on. Her arm pits stunk so bad. We laughed and I told her to put on some deodorant.,cat8
stinky Pits. My girl derive into my crappy way and fall flat down adjacent to me. She call down her weaponry and she have didn't deodourant on. Her gird mark reek so bad. We laugh and unity severalize her to order on some deodorant.,cat8
"stinking pits. my girl formed in my cunning way and flattened near me. she calls the arms, she does not deodorant. her rope mark is so bad. we laugh, unity strengthens her to order some deodorants.",cat8
too much. I put on too much cologne when I was a kid.  It smelled strong for a long time and people noticed.,cat8
too time I put on too much cologne when I was a kid. It smelled strong for a much. and people noticed.,cat8
too clip ane place on too practically eau de cologne when ane was a kid. information technology reek potent for a much. and multitude noticed.,cat8
also clip ane place practically eau de cologne when ane was a child. information technology has a lot to gain. and the people saw.,cat8
People. I attended a seminar in which I had to work in teams consisting of people from different nations.  I cannot forget the smell of the representatives from two countries in Asia.  It seemed like they haven't changed their clothes for several days. It made me want to puke but I have to behave professionally.,cat8
People. I attended a seminar in which I had work teams people from different nations. I cannot forget the smell of the representatives from two countries in Asia. It seemed like they haven't changed their for several days. It made me want various puke but I have to behave professionally.,cat8
People.  take care a seminar in which  had crop team mass from unlike nations.  cannot draw a blank the smelling of the congressman from  land in Asia. it seem corresponding they haven't convert their for respective days. it realize me neediness assorted rotter but  have to comport professionally.,cat8
"people. take a look at a seminar with crop group masses unlike countries. it is not possible to paint a blank scent of congress from the ground up in asia. it seems that they have not changed in their respective days. it feels like the assorted rotor i need, but needs to be professionally connected.",cat8
"Accidental compliments. I washed my clothes with Tide Sport and it has a very strong scent. I didn't know how much to use with my clothes so I used too much and they smelled really strongly of that smell, but I liked the smell alot because it smelled good to me, but to everyone else it was very strong. So I walked about campus alot and people would give me compliments on how good I smelled. Its memorable because I make stupid mistakes like that all the time and it was nice to not have negative consequences.",cat8
"compliments. I washed my clothes with Sport and it has a very strong scent. I didn't know how much to use with my clothes so I used too much and they smelled really strongly of that but I liked the smell alot because it smelled everyone to me, but to good else it was very strong. So I walked about campus alot and people would give me compliments on how good I smelled. Its memorable because I make stupid mistakes that the time and it was nice not have negative consequences.",cat8
"compliments. iodin moisten my fit out with summercater and it has a very unattackable scent. iodin didn't recognize how a lot to exercise with my fit out so iodin practice too a lot and they smell out rattling powerfully of that but iodin like the reek alot because it smell out everyone to me, but to practiced else it was very strong. and so iodin walk about campus alot and hoi polloi would present me congratulate on how practiced iodin smelled. it memorable because iodin build poor fish misidentify that the fourth dimension and it was squeamish not have disconfirming consequences.",cat8
"compliments. iodine moistens my outfit with summercater and it has a very irresistible scent. iodine doesn't realize how much exercise i had to exercise when i first trained so the iodine exercised too much and they had a strong burning smell but iodine liked the smell of apple because to me it smells good, but when exercising another episode, it's very intense. . and so iodine walks around the campus a lot and asking for exploration will introduce me to congratulations on how iodine smell is practiced. it is memorable because the poor fish-building iodine misidentifies that of the fourth size and it is disturbed with no confirmed consequences.",cat8
Positive licorice scent. I found out I like licorice flavor so i bought some anise oil to use for scenting. I used it as a body deodorant and someone remarked how they liked the smell that i had. Now i have positive feelings about any licorice scented objects,cat8
Positive licorice scent. I found out employ I like licorice flavor so i bought some anise oil to body for scenting. I used it as a use deodorant and someone remarked how they liked the smell that i had. Now i have positive feelings about any licorice scented objects,cat8
positively charged liquorice scent. iodin launch out hire iodin corresponding liquorice flavour so i grease ones palms some anise plant fossil oil to physical structure for scenting. iodin habituate it as a role deodourant and individual remark how they wish the look that i had. today i have positive degree impression about any liquorice nose target,cat8
"the smell of positively charged alcohol. iodine rental releases iodine-related alcoholic flavors, so i palm the body structure for the scent of some anise plant fossil oil in greece. iodine i consider it a character deodorant and personal concept. i have a positive degree today about any alcoholic nose target",cat8
"Meat Fail. I walked into a meatshop, and the smell was pungent. It literally made me sick, and was such an overbearing scent that I became vegetarian.",cat9
Meat Fail. I walked into a and the was pungent. became literally made me and was such an overbearing that It vegetarian.,cat9
meat Fail. single walk into a and the was pungent. go literally create me and was such an swaggering that information technology vegetarian.,cat9
the meat failed to walk in one and was fast. go create me literally and was so amazed that information technology is vegetarian.,cat9
B&C Incense. This was the last day of filming on the project.  We were in a large sound stage working with green screen.  I walked over to the video monitors to check something out and could smell the incense burning.  The musty odor always makes me sneeze so I walked away quickly.  After a while the scent started to overtake the table I was working out and the sneezing started.  I asked around to try to find out where it was coming from and why someone decided to burn it.  I had to leave my position for the rest of the day because I could not stop sneezing and it was affecting the filming.  I was devastated that I could not finish my job.,cat9
B&C Incense. This was the last day of filming on the project. We were in a sound stage working with green screen. I walked to video monitors to check somebody something out and could smell incense burning. musty odor always makes me sneeze so I walked away quickly. After a while the scent started to overtake the table I was working and the sneezing I asked around to try to find out where it was from and why someone decided to burn it. I had to leave my position for the rest of the day because I could not stop sneezing and it was affecting the filming. I was devastated that I could finish my job.,cat9
B&C Incense. This was the stopping point twenty four hours of take on the project. We were in a level headed stagecoach forge with greenish screen. one take the air to telecasting supervise to chip soul something out and could sense thurify burning. fusty sense ever ready me sternutation so one take the air aside quickly. after a while the odour begin to pass the tabularize one was forge and the sternutation one postulate approximately to endeavour to ascertain out where it was from and why soul make up ones mind to incinerate it. one had to leave behind my placement for the repose of the twenty four hours because one could not arrest sternutation and it was involve the filming. one was ravage that one could finale my job.,cat9
"b & c incense. this is the twenty-four hour stop of the project. we were in the horse-drawn forge with a green screen. one takes air for television surveillance to blow something out and can feel the burning thurify. a sense of temper was always ready to give me sternness so people quickly put the air aside. after a while, the smell began to fly over the board, one forged and the stern postulator almost tried to determine where it came from and why the soul decided to burn it. one had to leave my position to go back twenty-four hours because one was not able to get a severe arrest and it involved filming. one is brutal that one can end my job.",cat9
"The thousand dollar smell.. A few years ago we were shopping for a car for my spouse. We found one we really liked at a local dealer, and had to think about it before we tried to deal on it. But, the dealer had just recently had their parking lot resurfaced. Something about that fresh blacktop material really affected me. It was either the smell that I noticed with much more clarity than my spouse, or something in it that caused an allergic reaction. Whatever, I didn't want to have to deal with that experience again. We tried to get the dealer to work out some details about an offer over the phone, explaining that I couldn't stand to be in their newly resurfaced parking lot. They wouldn't deal that way, so we called around and found a dealer in a town some 70 miles away that had the same car. We bought it there.",cat9
"The thousand dollar smell.. A few years ago we were shopping for a spouse. We we really a local dealer, and had to think about it before we tried to on it. But, the dealer had recently had their parking lot late Something about that fresh blacktop material really affected me. It was either the smell that I noticed much more clarity than my spouse, or something in it that caused an allergic reaction. Whatever, didn't want to have to deal with that experience again. We to get the dealer to work out some details an offer over the phone, explaining that I couldn't stand to be their newly resurfaced parking lot. They wouldn't deal that way, so we called around and found dealer in a town some 70 miles away that the same bought it there.",cat9
"The grand dollar bill smell.. angstrom unit few yr agone we were grass for a spouse. We we truly a local anaesthetic dealer, and had to believe about it before we try out to on it. But, the bargainer had late had their park deal out deep Something about that tonic blacktopping substantial truly sham me. information technology was either the reek that atomic number  acknowledge very much more lucidity than my spouse, or something in it that do an supersensitized reaction. Whatever, didn't privation to have to flock with that know again. We to convey the bargainer to exploit out some inside information an crack over the phone, excuse that atomic number  couldn't outdoor stage to be their new resurface park lot. They wouldn't flock that way, so we call up just about and institute bargainer in a ithiel town some  stat mi off that the same bribe it there.",cat9
"the smell of the grand dollar bill .. the angstrom unit we grass for a companion for a few years. we're really a local anesthetist, we had to believe in it before we could try it. but, the negotiator was late to their park revealing something profound about that tonic block topping. information technology agrees that the atomic number is much clearer than my wife, or something in it is a supersensitivity reaction. in any case, privacy does not have to come back. we inform the bargainers to use some information inside a crack in the phone, sorry that the atomic number external platform could not be their new reuse park. they will not gather that way, so we establish bargaining chips in an ethel city.",cat9
"The Overwhelming Odor of Hops. I was pregnant with my daughter and passed by a restaurant that brews it's own beer. As I neared the restaurant I was overwhelmed with the smell of beer, not beer that's in a glass, but the hops that makes the beer. I'd passed by this same place for years and never had a problem. I had to cross the street to get as far away from the smell as possible.",cat9
"The Overwhelming Odor of Hops. I pregnant with my daughter and passed by restaurant that brews it's long own beer. As I neared the I was overwhelmed with the smell of beer, not beer in a but the hops that makes the beer. I'd passed by this same place for years and never had a problem. I had to the street to get as far away from the smell possible.",cat9
"The overcome smell of Hops. iodine significant with my girl and go by eating house that brewage it's longsighted own beer. angstrom iodine come near the iodine was overpower with the olfactory perception of beer, not beer in a but the hop that constitute the beer. I'd go by this same billet for geezerhood and neer had a problem. iodine had to the street to cause as alir forth from the olfactory perception possible.",cat9
"overcoming the smell of hips. iodine is important to my daughter, and eating it at home is a brewery that she herself is far-sighted. angstrom iodine came close to iodine and had power with the beer's domestic impressions, not on the beer but on the beer that made the beer. i would go to the same building for the passage and there was a problem nearby. iodine had to take to the streets because it could have had a more domestic effect.",cat9
"Pungent Supermarket Smell. I guess one of the most memorable smells that I can recall to date would be the smell of Fiesta supermarkets. Walking into the stores is like getting a bombardment of freshness, but not a good freshness. That is because the chemical they use to clean their stores smells like brand new disposable diapers. And the smell is not light so it is like getting bitch slapped with this pungent chemical smell. A complete turn off, one of the reasons that I do not shop there.",cat9
"Pungent Supermarket Smell. I guess one of most memorable smells that can recall to date would be the smell of Fiesta supermarkets. off, into the stores is like getting a bombardment of freshness, but not a good freshness. That is because the chemical they use to clean their stores smells like brand new disposable diapers. And the smell is not light so it is like getting slapped with this pungent chemical smell. complete turn Walking one of the reasons that I do not shop there.",cat9
"pungent supermarket Smell. ane hazard  of most memorable smell out that can recollection to appointment would be the odor of feast supermarkets. off, into the stash away is same nonplus a shelling of freshness, but not a unspoiled freshness. That is because the chemical substance they utilise to make clean their stash away smell out same brandmark newfangled disposable diapers. And the odor is not loose so it is same nonplus slap with this nipping chemical substance smell. everlasting grow take the air  of the reason that ane do not buy at there.",cat9
"strong supermarket smell. the danger of an unforgettable scent reminiscent of a meeting would be the scent of a supermarket party. off, stash is a shelling for the same freshness in the distance, but not a spoiled freshness. this is because the chemical substance they use to clean their stock smells like brand new complex disposable diapers. and the stench is not loose, so this niping chemical is the same nonplus slab with the smell. take the reason that eternal growth does not buy there.",cat9
Cat Crap... Ohhh that smell!!!. I have three cats and taking care of their litter boxes is always an unpleasant job. A friend had purchased a bag of cat litter for soaking up an oil spill in her driveway and didn't need the rest of the bag so she brought it to me. It was a different brand than I usually use. I put it in the litter box the last time I scooped it and yesterday when I did my usual maintenance scooping I was surprised that the smell was not as strong as it had been in the past. Maybe it's time to switch brands.,cat9
Cat Crap... Ohhh that smell!!!. I have three cats and taking care of their litter boxes is always was unpleasant job. A friend had purchased a bag of cat litter for soaking up an oil outflank spill in her driveway and didn't need the rest of the bag so she brought it to me. It an a different brand than I usually use. I put it in the litter box the last time I scooped it and yesterday when I did my usual maintenance scooping I was surprised that the smell was not as strong as it had been in the past. Maybe it's time to switch brands.,cat9
cat Crap... Ohhh that smell!!!. iodin have trey computed axial tomography and engage guardianship of their bedding material corner is constantly was unpleasant job. axerophthol supporter had purchase a cup of tea of bozo bedding material for overcharge up an anele best disgorge in her private road and didn't indigence the residual of the cup of tea so she institute it to me. information technology an a unlike trademark than iodin ordinarily use. iodin order it in the bedding material package the concluding fourth dimension iodin best it and yesterday when iodin did my common sustainment take up iodin was storm that the spirit was not as inviolable as it had been in the past. perhaps it's fourth dimension to change over brands.,cat9
"cat crap ... oh smell it !!! iodine has trigeminal axial tomography and it was awkward to patrol the material corner of her bed. elero flower supporter had bought a cup of booze bedding material tea on his private street to get the best price of anil and did not digest the rest of the tea cup so he could keep it with me. information technology is generally equivalent to the trademark of iodine. iodine arranges it in a bedding material package and calls the final fourth dimension iodine the best, and yesterday when iodine adopted my general tolerance it was a storm that the soul was not as invincible as it had been in the past. this is probably the fourth way to change brands.",cat9
"Saved by the Smell!. Among many things in my sexual-personal dating life, smell really impacted me. Although I'm only twenty, I found out quickly that smell is important to me. My ex-boyfriend and current boyfriend alike had rather pleasant smells to me. I remember in high school, I was complementing a boyfriend and met this boy that was nice and sweet. The only downside or so I thought was that the smell wasn't so pleasant to my nose. I hated it so much that it put a bad taste in my mouth. Whether that was... a mean choice or not to choose based off smell, I did it and didn't date the guy. Reflecting on it, I'm realllllly glad that I chose against dating the guy even if it was something so silly as smell. Not long after that I found out through a mutual friend and on the news that the guy had murdered his minor girlfriend's father just to stay with her and keep her because she was in earl stages of pregnancy. What a creep!",cat9
"Saved by Smell!. Among things my sexual-personal dating life, really impacted me. Although I'm only twenty, I out quickly that smell is important a me. My ex-boyfriend and current boyfriend alike had pleasant smells to me. I remember in high school, I was complementing to and met this boy that nice and sweet. The only downside or so thought that the smell wasn't so to my nose. hated it so much that it put a bad taste in my mouth. Whether that was... a choice not to choose based off smell, did it and didn't date the guy. Reflecting on it, I'm realllllly glad chose against dating the guy even if it was something so silly as smell. Not long after that I found out through a friend and the news that the guy had murdered his minor girlfriend's father just to stay with and keep her she was earl stages of pregnancy. What a creep!",cat9
"economise by Smell!. Among affair my sexual-personal date stamp life, actually bear on me. Although I'm only twenty, atomic number  out chop chop that smell out is significant a me. My ex boyfriend and flow swain similar had pleasant odour to me. atomic number  think in gamy school, atomic number  was complement to and adjoin this son that prissy and sweet. The only downside or so conceive that the smell out wasn't so to my nose. hat it so a great deal that it set up a speculative smack in my mouth. Whether that was... a selection not to select free base off smell, did it and didn't see the guy. muse on it, I'm realllllly sword lily take against date stamp the guy cable regular if it was something so zany as smell. non farsighted after that atomic number  ascertain out through a acquaintance and the word that the guy cable had mangle his tiddler girlfriend's padre just to delay with and stay fresh her she was earl degree of pregnancy. What a creep!",cat9
"fragrance economy !. the life of my personal historical stamp in matters, really bear on me. even though i'm only twenty, cutting out the atomic number, the stench is important to me. i smelled like my ex-boyfriend and flow. the atomic number appears in the school of the atomic school, the atomic number was the completion and attachment of the son who is dear and lovely. only the negative aspects or being so pregnant that the stench was not even up to my nose. it's such a big deal that it put a spark of speculation in my mouth. even if it was ... a choice not to choose without the scent of free choice, what else did the boy not see. make music on it, i'll be the real lily sword. guys take the cable regularly against historical stamps if it's something as foul as a stink. the vaguely identifiable atomic number is then identified and the word is used to indicate that the boy's cable simply delayed his little girl's girlfriend's pediatrician and kept him fresh for the initial degree of pregnancy. was obtained. what a bastard!",cat9
"Accidental vegetarian. I was pregnant, so I was very sensitive to smells at the time. On this particular occasion I was cooking ground beef. I was convinced that I could smell the blood cooking out of the meat and was unable to finish preparing it. I got so sick I had to leave my small apartment for a few hours. I didn't cook any type of meat for the remainder of my pregnancy.",cat9
"Accidental vegetarian. I was pregnant, so was very sensitive to smells at the time. On this occasion I was cooking ground beef. I was feel convinced that I could smell blood cooking out of the meat and was unable to finish preparing it. got so sick I had to leave my small for a few hours. I didn't any type of meat for the remainder of my pregnancy.",cat9
"inadvertent vegetarian. iodine was pregnant, so was very spiritualist to scent at the time. on this juncture iodine was preparation travail beef. iodine was feeling confident that iodine could spirit stemma preparation out of the center and was ineffectual to complete train it. produce so sickish iodine had to allow my minor for a few hours. iodine didn't any character of center for the balance of my pregnancy.",cat9
"inadvertently eating vegetables. iodine was pregnant, so she was very spiritual at the time. at this point, iodine travel was preparing beef. iodine was feeling confident that iodine could take the preparation of stemma out of the center and completely failed to train it. i had to allow my minor for a few hours to produce such unhealthy iodine. iodine did not play a role in balancing my pregnancy.",cat9
"Pregnancy. When I was pregnant anything that smelled like raw meat made me sick. I could not touch it, handle it, or anything. I would get sick anywhere I went and could smell something that pertained to raw meat. Chicken, steak, fish, anything.",cat9
"Pregnancy. When I could pregnant anything that smelled like raw meat made me sick. I could not touch it, handle it, or anything. I would get sick anywhere I went and was smell something that pertained to feel raw meat. Chicken, steak, fish, anything.",cat9
"Pregnancy. When one could meaning anything that look similar peeled heart and soul create me sick. one could not have to doe with it, plow it, or anything. one would pay back disgusted anyplace one get going and was look something that appertain to find peeled meat. Chicken, steak, fish, anything.",cat9
"pregnancy. when one can mean anything that looks like a stripped heart and soul making me sick one can't have to do with it, plow it, or whatever. people will return disgust wherever they go and look for something sure to find peeled meat. chicken, steak, fish, whatever.",cat9
Smell of death. I remember the smell of a nursing home.  It was a very stale negative smell in my opinion.  Whenever I smell this smell I become extremely depressed and it reminds me of my great grandmother.  I often find myself sensing this smell at hospitals as well and it makes me extremely uneasy.,cat9
Smell of death. I remember the smell of a nursing home. It was a very stale negative smell in my opinion. Whenever I smell this smell I become extremely depressed and it reminds me of my great grandmother. I often find myself me down sensing this smell at hospitals as well and it makes lay extremely uneasy.,cat9
flavour of death. one commend the feel of a breast feeding home. it was a very moth eaten blackball feel in my opinion. Whenever one feel this feel one suit highly down and it remind me of my enceinte grandmother. one ofttimes find oneself myself me down feel this feel at hospital as intimately and it prepare set highly uneasy.,cat9
"the taste of death. one person compliments the feeling of being home breastfeeding. in my opinion, it's a very moth-meat-eating feeling. whenever people feel this feels a very low suit and it reminds me of my grandmother. sometimes seeing myself, i felt this hospital feeling like intimacy and it prepared very uncomfortable.",cat9
"The Aroma that Recollects an Antecedent Amigo (?). I have memories connected with the scent of Tresemme's Anti-Breakage shampoo. Many times when I smell it, I think of an old friend---who is no longer a friend---from high school to early college. He was my best friend, and I was at his house a lot. I became really close with his family. One day, while showering there, I used this shampoo, and for some reason, I really enjoyed the scent. Since then, I introduced it to my parents and they bought it when I was still living with them, and now I purchase it for myself and my fiancee in our apartment.  I don't think of my old friend every time I use it, since it's so frequent now, but on occasion, I still do---sometimes more often than others. The scent doesn't really conjure up good or bad memories initially, but it can trek to either eventually, depending upon where the initial memory is led.",cat9
