text,categoryNumber,categoryMeaning,firstLevel,secondLevel
"The thousand dollar smell.. A few years ago we were shopping for a car for my spouse. We found one we really liked at a local dealer, and had to think about it before we tried to deal on it. But, the dealer had just recently had their parking lot resurfaced. Something about that fresh blacktop material really affected me. It was either the smell that I noticed with much more clarity than my spouse, or something in it that caused an allergic reaction. Whatever, I didn't want to have to deal with that experience again. We tried to get the dealer to work out some details about an offer over the phone, explaining that I couldn't stand to be in their newly resurfaced parking lot. They wouldn't deal that way, so we called around and found a dealer in a town some 70 miles away that had the same car. We bought it there.",cat9," Smell changes mood, attitude and behavior",changing,made me change my behaviour
"The Overwhelming Odor of Hops. I was pregnant with my daughter and passed by a restaurant that brews it's own beer. As I neared the restaurant I was overwhelmed with the smell of beer, not beer that's in a glass, but the hops that makes the beer. I'd passed by this same place for years and never had a problem. I had to cross the street to get as far away from the smell as possible.",cat9," Smell changes mood, attitude and behavior",changing,made me change my behaviour
"Pungent Supermarket Smell. I guess one of the most memorable smells that I can recall to date would be the smell of Fiesta supermarkets. Walking into the stores is like getting a bombardment of freshness, but not a good freshness. That is because the chemical they use to clean their stores smells like brand new disposable diapers. And the smell is not light so it is like getting bitch slapped with this pungent chemical smell. A complete turn off, one of the reasons that I do not shop there.",cat9," Smell changes mood, attitude and behavior",changing,made me change my behaviour
Cat Crap... Ohhh that smell!!!. I have three cats and taking care of their litter boxes is always an unpleasant job. A friend had purchased a bag of cat litter for soaking up an oil spill in her driveway and didn't need the rest of the bag so she brought it to me. It was a different brand than I usually use. I put it in the litter box the last time I scooped it and yesterday when I did my usual maintenance scooping I was surprised that the smell was not as strong as it had been in the past. Maybe it's time to switch brands.,cat9," Smell changes mood, attitude and behavior",changing,made me change my behaviour
"Saved by the Smell!. Among many things in my sexual-personal dating life, smell really impacted me. Although I'm only twenty, I found out quickly that smell is important to me. My ex-boyfriend and current boyfriend alike had rather pleasant smells to me. I remember in high school, I was complementing a boyfriend and met this boy that was nice and sweet. The only downside or so I thought was that the smell wasn't so pleasant to my nose. I hated it so much that it put a bad taste in my mouth. Whether that was... a mean choice or not to choose based off smell, I did it and didn't date the guy. Reflecting on it, I'm realllllly glad that I chose against dating the guy even if it was something so silly as smell. Not long after that I found out through a mutual friend and on the news that the guy had murdered his minor girlfriend's father just to stay with her and keep her because she was in earl stages of pregnancy. What a creep!",cat9," Smell changes mood, attitude and behavior",changing,made me change my behaviour
"Accidental vegetarian. I was pregnant, so I was very sensitive to smells at the time. On this particular occasion I was cooking ground beef. I was convinced that I could smell the blood cooking out of the meat and was unable to finish preparing it. I got so sick I had to leave my small apartment for a few hours. I didn't cook any type of meat for the remainder of my pregnancy.",cat9," Smell changes mood, attitude and behavior",changing,made me change my behaviour
"Pregnancy. When I was pregnant anything that smelled like raw meat made me sick. I could not touch it, handle it, or anything. I would get sick anywhere I went and could smell something that pertained to raw meat. Chicken, steak, fish, anything.",cat9," Smell changes mood, attitude and behavior",changing,made me change my behaviour
Smell of death. I remember the smell of a nursing home.  It was a very stale negative smell in my opinion.  Whenever I smell this smell I become extremely depressed and it reminds me of my great grandmother.  I often find myself sensing this smell at hospitals as well and it makes me extremely uneasy.,cat9," Smell changes mood, attitude and behavior",changing,made me change my mood
"The Aroma that Recollects an Antecedent Amigo (?). I have memories connected with the scent of Tresemme's Anti-Breakage shampoo. Many times when I smell it, I think of an old friend---who is no longer a friend---from high school to early college. He was my best friend, and I was at his house a lot. I became really close with his family. One day, while showering there, I used this shampoo, and for some reason, I really enjoyed the scent. Since then, I introduced it to my parents and they bought it when I was still living with them, and now I purchase it for myself and my fiancee in our apartment.  I don't think of my old friend every time I use it, since it's so frequent now, but on occasion, I still do---sometimes more often than others. The scent doesn't really conjure up good or bad memories initially, but it can trek to either eventually, depending upon where the initial memory is led.",cat9," Smell changes mood, attitude and behavior",changing,made me change my behaviour
"Bread in the oven. The first time I ever made my own bread was a revelation. I was unemployed, and it was something I had always wanted to try. No time like the present, and it would save some money as well. I love fresh bread.    The first time I made bread, the smell was transformative. The flour and yeast smells in the kitchen were fun, but a bit of time later, my apartment was filled with the smell of fresh bread. It was a smell I had loved since I was a kid, but had never had it as strong as when it was in my own kitchen and wafting through the rest of the house.    I was hooked. I began to love doing all the cooking at home, and that turned into a major turnaround in our family's health and budget. Eventually, with the birth of my son, we realized that I was actually more suited to being the stay-at-home parent, and my wife continued her career. All because of the smell of fresh bread.",cat9," Smell changes mood, attitude and behavior",changing,made me change my behaviour
Chipotle. The most memorable smell experience for me was walking into chipotle for the first time. The smell of delicious mexican food that day is what led me to keep coming back  every week with my friends,cat9," Smell changes mood, attitude and behavior",changing,made me change my behaviour
Smells of subway. One day i decided to go to subway for the first day ever. Although this was my first time going to subway it was about to become my favorite resturant becuase of the smell experience I had. As soon as i walked in I was hit with the smell of deliouious bread and food. The aroma was incredibly inciting and is the main reason that i visit subway almost daily now.,cat9," Smell changes mood, attitude and behavior",changing,made me change my behaviour
"Comforting sweater scent. My old grirfriend used to wash her clothes in Tide detergent, so they, especially her sweaters, had a particular smell on them when fresh.  Once after being gone for a couple weeks, and after a long, tense trip getting back home, I was welcomed by hug from her.  Somehow, the smell of her sweater is what I remembered most about that, as it instantly relaxed me and set me at ease after 12 hours of travel.",cat9," Smell changes mood, attitude and behavior",changing,made me change my mood
"White Lilac Sheets. My brother arrived at my home to help me move the bed from the guest room into the master bedroom.  He had to help me do that because my husband had taken our king size bed with him when he left earlier that day.  I actually helped him load the u-haul and hated myself for not letting him struggle.  The bed was moved easily, it was my old bed, the one I bought for myself when I left him.  It had a lovely and romantic brass headboard and seeing it in the room made me feel a bit better.  The walls had already been freshly painted.  I just needed to wash my sheets and make my bed and the room would be mine. Only mine.  I used my expensive white lilac laundry detergent to wash the sheets and covers.  When they came out of the dryer the sheets smelled like home and comfort.  I made the bed with my lilac sheets and the atmosphere changed.  I still remember that scent and how I felt on that day.  I was going to be okay.  The room didn't look or feel or smell lonely anymore.  It looked and smelled fresh and clean and lovely and a bit romantic and it was mine.",cat9," Smell changes mood, attitude and behavior",changing,has been used to change the mood
"The Road to Sous Chef. I remember the first day working in the kitchen at a sports bar. There was a combination of smells, all easily distinguishable. I remember distinctly being able to smell all sorts of pastas being sauteed, meats being seared, and pizzas cooking throughout the back of the restaurant. That experience really changed my perception of cooking and greatly strengthened my passion for food.",cat9," Smell changes mood, attitude and behavior",changing,changed my attitude
"bakery. The first time I walked into a bakery, I just knew that was what I wanted to do with my life. The smell was absolutely amazing and I knew that I wanted to be surrounded by it every single day. I rarely stop and think about the smell these days, so it doesn't quite have the same effect, but I still remember how strongly it made me feel.",cat9," Smell changes mood, attitude and behavior",changing,made me change my behaviour
"Beginning of winter coffee.. I absolutely love the smell of coffee. I remember one morning I had to go into work at 3:00 AM for Black Friday. I was exhausted, angry, and not wanting to go into work. I stopped by a coffee shop that morning. It was still dark out; middle of the night. It was the first unofficial day of the winter season. Walking into that coffee shop and smelling fresh brewed coffee along with peppermint mochas and white hot chocolates, just made me feel at peace. I was happy going into work just my smelling the aroma of the coffees of the season,",cat9," Smell changes mood, attitude and behavior",changing,made me change my mood
"Homemade Bread. Coming home from a bad day at school, when I walked into the house I could smell baking bread.  This wasn't an uncommon experience at the time, but it did make me feel much more calm and relaxed.  I was able to shift my mood to a more positive one and I've remembered that day since, even though it's been decades.",cat9," Smell changes mood, attitude and behavior",changing,made me change my mood
"Thanksgiving smells of childhood. I am one of 5 front of house managers at a nice restaurant. Last year, a week before Thanksgiving, one of our managers had a family emergency while another was on vacation. I ended up working four 15-hour workdays in a row as a result. On the last day, in the last hour I was there, exhausted and completely drained mentally and emotionally, our chef started prep work for the big Thanksgiving dinner service we were doing. My office is back near the prep kitchen, and suddenly it was full of the smells of roasting turkey, savory stuffing, basting hams...it was amazing, and reminded me of happy Thanksgivings of my childhood and the smells coming out of my mother's kitchen.  It was an incredibly comforting, cathartic, and altogether wonderful smell...I'll always associate it with the relief of finishing that grueling work period (and then the accompanying 4 days in a row off work).",cat9," Smell changes mood, attitude and behavior",changing,made me change my mood
"Get Home to a Wonderful Meal. I was having a really long day at work and am always hungry when I get home. I'm usually on the border between just hungry and cranky from hunger. I get home, walk through the door, and a wonderful smell hits my nose. It was a combination of fresh baked bread, a meaty aroma, and joy. Joy because after weeks of coming home in not the best mood, my boyfriend finally realized something he could do to make it better. Coming home to the smell of fresh dinner is much more inviting than the sound of the television.",cat9," Smell changes mood, attitude and behavior",changing,made me change my mood
Laughing with Cookies. I remember walking into our kitchen and seeing my mom scooping cookies out of a bowl onto to the pan. The smell of cookies baking always made me feel happy and always seemed to draw me into the kitchen to spend time with her (and lick the bowl)! I would be in another room of the house and begin to smell the sweet smell of chocolate chip cookies. It never failed to bring a smile to my face.,cat9," Smell changes mood, attitude and behavior",changing,made me change my mood
Airplane Odor. I hate to travel and one thing I hate about it is the smell of airplanes. I hate that they are stuffy and stale. They smell like really old coffee which I hate the smell of anyway and stale is the worst. They also smell like that mixed with a outhouse and some kind of spray mixed in to try and cover up the smell of the bathroom. All of that mixed together just makes my stomach roll. I feel sick the entire time I am on a airplane. It makes the entire experience seem to take that much longer and feeling sick for hours is no fun mixed with the odor makes it horrible.,cat1,Associating the past with a smell,connecting,linked to a location
"ER Odors and Funk. Entering an emergency room brings the intense smell of rubbing alcohol and the smell of a mop bucket where the floor just go mopped after someone got sick. It's a very memorable experience and ... so, usually when I smell rubbing alchohol or even pine sol - the memory of emergency room visits lingers.",cat1,Associating the past with a smell,connecting,linked to a location
"Frosting Donuts. The smell of a donut shop, or donuts in general bring to mind memories of when my parents owned a bakery.  I was 12-14 years old.  They made me work in the bakery after school frosting donuts.  It was awful.  The job itself wasn't bad, but the other employees made me uncomfortable.  And after a few minutes inside the bakery the donuts stop smelling delicious.  They take on this sickeningly sweet yeasty smell.  And  after working there for more than a half an hour, the smell starts permeating into your clothes and hair.  Even to this day, donuts are very unappealing to me because it brings back those feelings of loss of freedom, not feeling safe (older men working there made me feel unsafe), and overall unhappiness.",cat1,Associating the past with a smell,connecting,linked to a negative event/episode
"The smell of an Ex. My scent memory has to do with a cologne worn by an ex boy friend, we had been friends for a while and I came to associate this specific scent with him. Things in our relationship did not end well, one might even say very badly. Weeks maybe even months later is when I first encountered this cologne being worn by someone else. Instantly I associated the smell with my ex and all the feelings from our messy break up came flooding back all at once. Even now, years later, I am completely over what happened between us but if I smell that cologne it still brings back the way I felt the first time I smelled it after our breakup.",cat1,Associating the past with a smell,connecting,linked to a negative event/episode
Redbull. Everytime I smell red bull I think of drinking shots and red bulls and vodka. I can't even drink red bull because it makes me feel bad. I don't like the smell of it.,cat1,Associating the past with a smell,connecting,linked to a negative event/episode
"No curry for you!. The smell of rotting Indian food, while working in a food service on campus, the Indian Student Club was working on a dinner, they cooked off curry chicken and put it in a hot box, then put it in the cooler to cool it down. Sadly the food stayed hot all night and the smell when they opened the door the next day will forever be burnt into my nostirls",cat1,Associating the past with a smell,connecting,linked to a negative event/episode
"Gramma. When my gramma was dying she had sores on her. They were really bad, and they had this smell to them. It was like rotting flesh. (come to find out it actually was rotting flesh, she was unable to move at all and she had really, really bad bedsores.) She smelled so much like it, that it scared us. It smelled like death. Sometimes you'd catch a whiff of it days months, and even years later. It was probably all mental but I still smelled it sometimes.",cat1,Associating the past with a smell,connecting,linked to a negative life event
"Dead Body. The first time that I smelled a decaying body is unfortunately the most memorable. I had smelled rotting animals before, but knowing that it came from a human corpse was revolting and depressing. I was in Honduras at the time, and we found her on the side of the road. She had been hit by a car and left to die. It make me sick, and I found it hard to sleep for several days.",cat1,Associating the past with a smell,connecting,linked to a negative life event
"The End of his life , beginning of flowers.. The experience i have involving smell is a sad experience and memory. The smell experience i have involves the strong smell of flowers. My grandfather passed away about 6 months ago , i was very close to him as was much of my family and community. I will never in my life forget the smell of all the floral arrangements around us when we approached him for the first time at the wake.Everytime i smell flowers in large amounts at a store, garden, garden center , wedding anywhere all of my memories from his wake come back to me . Its hard and upsetting and still somthing im dealing with.",cat1,Associating the past with a smell,connecting,linked to a negative life event
"Everyday Scents. the smell I am thinking of is the way my dad smelled. It was the combination of the soap and deoderant he used. It was always the way he smelled and how I would remember him by when I wouldn't be able to see him for a few weeks. As the soap he would use was very common, I still smell that same scent almost 15 years later. I'll smell it in the street, or in a room full of people, or at work when it's busy with customers.",cat1,Associating the past with a smell,connecting,coupled to a person
"My Grandpa's Money Machine. When I was extremely young, my grandpa would always give me $10.00 as a gift just because he loved me and my sisters. He would always tell us that he was walking upstairs to go to his personal bank where he prints and makes his own money. He was always kidding about this, but I didn't realize until later. My grandpa would hand me the $10.00 bill and it was always crisp and smelled brand new. Because of that, I have always enjoyed the smell of money. The scent reminds me of my grandpa and that he loved me.",cat1,Associating the past with a smell,connecting,coupled to a person
moms cookies. I like of the smell of moms cookies when the whole house smells of chocolate,cat1,Associating the past with a smell,connecting,coupled to a person
grandfather. My grandfather smoked a pipe. Smelling a pipe makes me think of my childhood spending time with my grandfather.,cat1,Associating the past with a smell,connecting,coupled to a person
Dramatic Smells. I remember walking onto a hospital floor when my grandmother was recovering from surgery. I remember the smell of sterility and the smell that always reminds me of rubber gloves. I can remember the smells of the nurses perfume as well.,cat1,Associating the past with a smell,connecting,linked to a location
"Sauerkraut and mothballs. I remember when I walked into my grandmother's house, it would usually smell like mothballs and sauerkraut. I entered the house through the back door, which opened up to her storage room. The storage room was designed to be a garage but she had long ago converted it to a regular room with carpet and windows. This is where she tucked away all her junk and treasures. She used mothballs to keep away mice actually. The storage room led right into the kitchen, which is where she often cooked sauerkraut and keilbasa. It was a very dark, damp and heavy smell.",cat1,Associating the past with a smell,connecting,linked to a location
"My trip to the zoo. Going to the zoo as a child.  The zoo has a definite smell, a combination of the outdoors, the animals, the food, etc.  Every time I go to the zoo, the smell upon entering brings me back to my childhood and feeling so excited about seeing all the animals.",cat1,Associating the past with a smell,connecting,linked to a location
"Mamaw's Closet. I went into my grandmother's closet to get some toys to play with.  She had stacks of magazines in there that she was keeping.  It smelled a little musty, but comforting because I had been in the closet many times before and smelled that smell.",cat1,Associating the past with a smell,connecting,linked to a location
"Bay Air. Driving down the shore to Wildwood, NJ was something I looked forward to every summer. Some of the best times of my life happened down there, and there was always a certain smell that stuck out to me, and stayed in my memory forever. Crossing the bridge to Wildwood, the air smelled of fish and the bay, not the most pleasant smell, but something ill never forget.",cat1,Associating the past with a smell,connecting,linked to a location
"Smells Like Mamaw's House. Everytime we would visit my grandmother's house in Mississippi, there was a particular smell to her house.  It was a good smell, warm and almost herbal.  The mixture of cooking smells and probably the wood in her house combined.  Nothing smells like that, and even though I will never be able to go back because the house has been torn down, I can still vividly remember the smell of her house.",cat1,Associating the past with a smell,connecting,linked to a location
The smell of Christmas. The smell of cinnamon always reminds me of Christmas time. When I was young at Christmas time my mother would always be baking and the house would feel with the smell of cinnamon. The smell of cinnamon is a very comforting smell to me.,cat1,Associating the past with a smell,connecting,linked to a tradition
"Peppery Shame. I remember the peppery smell of bug spray that was strong in one of the apartments that I grew up in.  It wasn't a negative smell in itself, but I knew that it represented bugs and that we lived in a place where bugs were a problem.  This knowledge made me feel ashamed of my home.",cat1,Associating the past with a smell,connecting,linked to a negative event/episode
"Car Crash. When I was 16 I crashed my car into another after looking down to change the radio and looking back up. The memory that is easiest to recall is the smell of the airbag and the thought that I was dreaming. After realizing I wasn't dreaming I became less dazed and got out of the car. I don't remember much about the aftermath, but I can still smell the burnt rubber of the tires, and the strange smell of the airbag.",cat1,Associating the past with a smell,connecting,linked to a negative event/episode
First Time At The Nursing Home. My mom was transported out to the town where I live to go into a nursing home when she got sick.  After she arrived I went to visit her in the afternoon.  I will never forget the smell of the nursing home.  It was such a different smell than I had ever encountered and I had to get used to it before I could comfortably go and visit her.  The smell was present when you entered the front door and it got stronger as you got further into the residents quarters.  Now whenever I go to a nursing home and smell that smell I am instantly transported back to my first visit to see my mom on that day.  It was a very hard to describe smell that I still can't figure out what it was.  But it was very distinct and I've never smelled it anywhere else.,cat1,Associating the past with a smell,connecting,linked to a negative event/episode
"Mommy Dearest's Perfume Makes Vomit Bloom. My mother wears a particular perfume that has heavy flower undertones.  My mother is also a particularly horrendous individual.  10 years later, after suffering an unhealthy childhood, that particular perfume will make me nauseous even if smelled on a stranger.  Flower smells in general don't bother me, just that particular combination of women's perfume.",cat1,Associating the past with a smell,connecting,linked to a negative event/episode
"Smellerific. I drank (nearly) an entire 750ml bottle of Southern Comfort by myself one New Year's Eve.  I had to work early the next day and, needless to day, the day didn't go too well.  I ended up puking in a waste basket several times.  It was a week later when the smell came in, though.  I opened up the Southern Comfort bottle and the smell made me sick to my stomach.  It took a few years to get overcome that reaction.",cat1,Associating the past with a smell,connecting,linked to a negative event/episode
"pine tree. When I was a kid, I was sledding in my backyard and hit hard into a large pine tree, dislocating my collarbone. My brother and sister had already gone inside and I was alone, stunned, and in quite a bit of pain, so I remember sitting exactly where I had hit the tree for a 3-5 minutes or more. During that time, what I remember most is the fragrant smell of the pine tree. Even now when I smell a freshly cut x-mas tree, I immediately remember this experience.",cat1,Associating the past with a smell,connecting,linked to a negative event/episode
smell of new house. I remember when I was 8 years old and we moved into our new house after moving across the state. I was already extremely distraught because I had just picked up and moved away from all of my friends and the house had a sort of musty smell that I really didn't like. I actually remember complaining to my mom about it and she told me it would go away soon and would be replaced with our smells. Sometimes I still sense a similar smell and become sad instantly.,cat1,Associating the past with a smell,connecting,linked to a negative event/episode
"The Smell of My Past. I once dated a guy that wore his specific type of cologne - the name escapes me. It was about 7 years ago that we broke-up and it was a really, really bad breakup. Every once and a while I smell that smell on another man randomly walking near me and the memories of what we had and what happened to us came flooding back. I almost tear up when I smell it.",cat1,Associating the past with a smell,connecting,linked to a negative event/episode
"The Essence of  Surgery. One particular memorable moment of smell for me when the scent of cleaner used to clean the hospital. I was waiting in the waiting room for surgery, as I was not yet prepped up on the gurney. Other than the site of white walls and blue chairs, what smelt like Lysol and strong industrial cleaner permeated through the air. I was sitting in the chair thinking, gosh this is going to be one of the last scents I smell before going under.",cat1,Associating the past with a smell,connecting,linked to a negative event/episode
"Death and it's presence. The smell that most stands out is while my husband was dying the hospital medicinal smell. Now when i go into a hospital the smell is connected to bad feelings, such as death and pain. The smell actually gives me a feeling of anxiety. for this reason i very much dislike going into hospitals.",cat1,Associating the past with a smell,connecting,linked to a negative life event
When my mother died. I remember when I went to the hospital the day my mother died. Everything smelled so clean and antiseptic. That made a strong impression on me.,cat1,Associating the past with a smell,connecting,linked to a negative life event
My Moms Purse. The most memorable smell is the smell of the inside of my moms purse. I used to look in her purse a lot as a kid and I can remember the smell right now. If I think about it I instantly feel like a kid again. The smell is impossible to describe. Its like leather mixed with love.,cat1,Associating the past with a smell,connecting,linked to a positive event/episode
The best part of waking up. When I was young and would wake in the morning to the smell of coffee.  It would make me feel happy when we were on vacation as well and the smell of coffee in a hotel or in the cabin.,cat1,Associating the past with a smell,connecting,linked to a positive event/episode
The Smell of Coffee in the Morning. The smell of coffee in the morning. My parents and I used to get up in the morning and drink coffee together and read the newspaper. Now the smell of coffee always reminds me of that.,cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"Schools Out. Every spring, The smell of a sunny, clear cool morning always reminds me of the end the end of the school year when I was a little kid.  Every time I smell the air during that time of the year I react in a way as if I wish I was back in school and was about to have 3 months off to hang out with friends, play sports and have fun.",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"Funnel Cakes of Joy. My childhood wasn't the greatest. My mom is and was an abusive alcoholic, I didn't and don't know my father, and my mother had multiple abusive men coming in and out of our home a lot. She kept us secluded out in the countryside and refused to drive us to the city. Kids my age were scarce and hard to come by and the kids at my school were not the friendliest of people. In fact, I was one of the only white kids, so I was constantly bullied. We were poor and didn't have the internet or video games or even cable. The only thing that I could ever really do was to play out in the woods by myself.     This went on for a few years until one day when I was out in the woods playing, I heard two other kids talking and walking around. Anyways, long story short, it was a brother and sister named Justin and Jessica. Their family basically adopted me and I was constantly at their house spending the night. They knew about my home life and tried their best to give me a childhood. With the exception of maybe two times, every single Friday night, we would all go to the drive-in movie theatre and eat funnel cakes. To this day, when I go to a fair or carnival and I smell the sweet, oily smell of funnel cakes I'm immediately taken back in time to th",cat1,Associating the past with a smell,connecting,linked to a positive event/episode
"First ejaculation. When I was twelve, I had my first real ejaculation. I remember being fascinated and disgusted in equal measure. It was already all over my fingers, and I remember holding them up to my nose to smell it. I had heard from an older friend that it smelled and tasted slightly sweet and was curious as to whether he was telling the truth. He wasn't, but that memory is still incredibly vivid and occasionally replays in my mind after intercourse or masturbation.",cat1,Associating the past with a smell,connecting,linked to a positive life event
"Boyfriend's cologne; bringing back memories from years past. When I was with my first boyfriend, he asked me to buy a cologne for him that I liked. So I found a rather popular cologne from Hollister and bought it for him, and he regularly wore it. Now, even years later I recognize this cologne and it immediately brings back memories from my first boyfriend if I ever come across it.",cat1,Associating the past with a smell,connecting,coupled to first time encounter with a person
"Changing Alex. The first time I diapered my son at home, I was struck by the smell of his Pampers. It was a moment of very strong emotion for me, of great love and great apprehension",cat1,Associating the past with a smell,connecting,coupled to first time encounter with a person
Her smell. I remember the smell of my wife's perfume she wore in high school,cat1,Associating the past with a smell,connecting,coupled to a person
"Son. I had just walked into the hospital. My son was on his way to being born. That smell of sterile, antiseptic and clean linens hit my nostrils hard. I hate hospitals for the most part but that day I didn't mind that smell much. I remember that night smelling the blanket that was given to me by a nurse. It had a clean sterile smell.",cat1,Associating the past with a smell,connecting,coupled to a person
"The Jules Effect. My girlfriend always had a particular perfume she wore, and used a particular incense in her apartment. After she died, I remember going over to her apartment to help pack it up for her family. Just, the smell of the place made me cry.  It brought to mind every moment we had over our relationship. To this day, everyone once in a while I will pass a woman wearing her perfume and it will bring back almost overpowering memories of her.",cat1,Associating the past with a smell,connecting,coupled to a person
"My mom's perfume. I remember a day when my daughter walked into the room and the smell of her perfume had a huge impact on me.  She was wearing a scent that had been my mother's.  When my mother had died, a few months prior to this day, she had taken an open bottle of  my mother's favorite perfume.  She took it because the smell always reminded her of  nana  and it was her way to stay close to her.  The scent, as she walked in the room, had the same effect on me.  It immediately brought my mother into the space.  My mind was flooded with wonderful reminders of times I had been with my mom when she was wearing this perfume.  It started a wonderful conversation about my mom and the fun things we had all done together.  It was altogether a wonderful experience.",cat1,Associating the past with a smell,connecting,coupled to a person
"My grandmother's blankets. I was about 16 years old and went to stay with my grandmother for a few weeks. I hadn't been to Berlin ever since I was 7. She had these beautiful goose down blankets and pillows that were clad in dark green cotton duvets. It was really cold during my stay, and she pulled those covers from the cabinets for me. Those cabinets were made of a type of wood that I'm not sure of, but the smell that those blankets and that wood just takes me right back there. I've never experienced that smell but I can really remember it. There's nothing in the world like that. It makes me really miss her even more now that she passed away 4 years ago.",cat1,Associating the past with a smell,connecting,coupled to a person
